index,image,PSNR,SSIM,LPIPS
405,00405.png,42.185337649893555,0.9955432879037028,0.010410929098725319
408,00408.png,41.51888799232404,0.9961862412019022,0.009492055512964725
411,00411.png,36.61885520858008,0.9950928628310765,0.010977509431540966
414,00414.png,30.48461241464593,0.9933330618559776,0.009486750699579716
417,00417.png,31.255014897918784,0.994948586852872,0.007006457075476646
420,00420.png,34.901318917162804,0.99403765361218,0.013123612850904465
423,00423.png,34.442208403979954,0.9951975257262257,0.010020347312092781
429,00429.png,28.896116946135333,0.990331989340146,0.017860906198620796
432,00432.png,36.82884969034073,0.9961526256415228,0.00882114376872778
435,00435.png,26.088741257200635,0.991357220299567,0.01272786594927311
438,00438.png,29.483198654321892,0.9890534818098451,0.01441103219985962
441,00441.png,21.673062346438137,0.9670979465379403,0.03832284361124039
444,00444.png,32.5582095171671,0.9920525567731809,0.013409500941634178
447,00447.png,34.14088734801696,0.9917757296172334,0.008770255371928215
450,00450.png,36.108437590309634,0.995823556805434,0.006180703639984131
453,00453.png,40.404496726905414,0.9950280459249259,0.010482647456228733
456,00456.png,38.06467898030841,0.993147830331952,0.013181246817111969
459,00459.png,40.41680749212148,0.9946600427170779,0.01062743365764618
462,00462.png,41.79912145265707,0.9957191738811701,0.009049778804183006
465,00465.png,43.22596391853418,0.9960753986785109,0.01063359621912241
468,00468.png,39.26941677860819,0.9954515785915786,0.010054600425064564
471,00471.png,35.65459340577473,0.9937969612015736,0.012568471021950245
474,00474.png,30.32173189815632,0.9927151193039607,0.011863593012094498
477,00477.png,42.553752056352394,0.9974701051891961,0.006875962018966675
480,00480.png,35.48999555571419,0.9944172138539898,0.00912337563931942
483,00483.png,35.29999080572244,0.9946257029523933,0.009845057502388954
486,00486.png,26.67340857332593,0.9871589498032028,0.014942904934287071
489,00489.png,26.013096021744122,0.9818531150226534,0.01937374472618103
492,00492.png,29.464463717727494,0.9887636746930677,0.016974937170743942
495,00495.png,23.550405430757515,0.9772347168250279,0.02528003603219986
498,00498.png,23.67372528911174,0.9817217642525974,0.019942469894886017
501,00501.png,18.285147516926273,0.9526120206512221,0.05111491680145264
510,00510.png,36.09160810502451,0.9939595625111541,0.009516055695712566
513,00513.png,34.10827004841486,0.9906756850839921,0.018266044557094574
516,00516.png,35.93963760529462,0.9908759305210004,0.015555663034319878
519,00519.png,34.0054283145879,0.9907080530598339,0.014851420186460018
522,00522.png,40.48161202416563,0.9955961199830704,0.009868035092949867
525,00525.png,42.345315682225404,0.9959644696458457,0.011039413511753082
528,00528.png,41.169467810501324,0.9957345464321576,0.011680122464895248
531,00531.png,34.35407398437108,0.9922620322693739,0.017238996922969818
534,00534.png,29.51999504893722,0.9895981238680256,0.016028812155127525
537,00537.png,41.24986678022595,0.9968388209325372,0.011845618486404419
540,00540.png,21.182700859444964,0.9666468045635265,0.029103541746735573
543,00543.png,34.41515094259172,0.9945517418898543,0.009239070117473602
546,00546.png,25.27110677827858,0.9813021168827191,0.018944360315799713
549,00549.png,24.00826384098164,0.974032856245165,0.018051091581583023
552,00552.png,25.03322664111355,0.9788124467100926,0.02731921337544918
570,00570.png,34.73589833474143,0.9946553173229893,0.008176388218998909
573,00573.png,37.90123315086139,0.9931462070384534,0.010401043109595776
576,00576.png,35.927371611817776,0.9919161194146837,0.01015319861471653
579,00579.png,32.63952002531272,0.9891569218791988,0.014574648812413216
582,00582.png,41.46378998656422,0.9952688392075799,0.012759523466229439
585,00585.png,43.328968002743736,0.9963400454775901,0.01149884331971407
588,00588.png,41.77158544791187,0.996614077970378,0.011434309184551239
591,00591.png,38.39130443718695,0.9943150227700348,0.015564152970910072
594,00594.png,27.80214617462054,0.9846176352867999,0.0233513992279768
597,00597.png,36.148201293916074,0.9959905933351753,0.009535999968647957
